year,drought_severity_index
2000,1.6167096153846154
2001,1.6371942307692309
2002,3.0286698113207544
2003,3.130905769230769
2004,2.4164
2005,1.3793557692307692
2006,2.0100615384615383
2007,2.2098884615384615
2008,1.4770754716981132
2009,1.001903846153846
2010,0.6565942307692307
2011,2.3522692307692306
2012,3.3141903846153844
2013,3.0189207547169814
2014,2.3539153846153846
2015,2.063659615384615
2016,1.2653596153846154
2017,0.7555326923076924
2018,1.8379576923076923
2019,0.5711584905660377
2020,1.8297826923076923
2021,3.826453846153846
2022,3.6098096153846155
2023,2.0187461538461537
2024,1.501975471698113
2025,2.221831914893617
